时间	转发数	评论数	点赞数	微博内容	字数	转发	转发内容	
03-06	1	13	13	【下班天气】预计17-20时，阴天，有零星小雨，雨量微弱；气温18-20℃；偏北风2-3级；目前中西部地区能见度4-10公里，东部地区15-20公里。降雨可能导致路面湿滑，但不至于产生积水；出现降雨时能见度较低，需注意行车安全。 深圳市气象台2019年03月06日16时52分发布。网页链接 	265	否	
03-06	9	44	22	【深圳市天气提示】7-10日有间歇性短时强降水：7日有中到大雨，局部暴雨，伴雷暴，气温15-19℃；8-10日仍有明显降水，雨量可达大雨到暴雨，伴有8级短时大风、雷暴和短时强降水；10日午后降雨减弱，11-13日转多云天气。我市已进入强对流天气多发期，请注意防范雷雨大风、短时强网页链接 	274	否	
03-06	1	19	14	【深圳市取消雷电预警】雷暴云团已减弱，深圳市气象台于2019年03月06日15时55分在全市取消雷电预警。网页链接 	112	否	
03-06	7	115	47	南山宝安福田龙华的大部分地区雨基本上已经停了，东部地区的降雨还会持续一段时间。这波降雨来势汹汹，结果走到深圳边上的时候，散了 	130	否	
03-06	0	41	21	回复@二哥不能再二:竹子林也听到了，很闷，一点都不炸裂，失望//@二哥不能再二:听到雷声了，开心	0	是	现在基本全市都在下雨，不过强度比预想的弱，宝安北部和光明的降雨快要结束了，其余地区还要持续一段时间 
03-06	2	48	34	现在基本全市都在下雨，不过强度比预想的弱，宝安北部和光明的降雨快要结束了，其余地区还要持续一段时间 	98	否	
03-06	5	95	39	宝安和光明等西部地区的降雨已经开始了，接下来将逐渐向东扩大到全市。本次过程伴有短时大风和雷暴，请在路上的市民注意安全。 	118	否	
03-06	4	80	41	【强降雨午后影响】这条强回波带的移动速度比较稳定，预计13时前后到达我市西北角，然后自西向东移动，半小时到一小时后开始影响市区，最终影响全市，本次过程伴有雷暴。中午出门吃饭的时候记得带伞，不要去太远，免得湿身影响下午上班 	218	否	
03-06	4	28	14	【流感指数Ⅲ级】2019年3月6日至3月12日，深圳市流感指数为Ⅲ级（较易发生），未来一周本市处于流感流行期，流感活动较强，流感病人较多，提醒市民：　　1、保持室内环境卫生，经常开窗通风；　　2、保持健康饮食、适量运动及充足休息；　　3、勤洗手，打喷嚏或咳嗽时用手帕或纸巾掩住口鼻；　 ...全文	376	否	
03-06	1	72	24	在下午的大范围降雨来临之前，还是会有一些局地短暂的降雨回波生成，现在南山就受到一块局地降雨回波的影响，持续时间不会太久，未来将向福田方向移动。宝安和光明也受一些零散降雨回波的影响。南边香港的降雨回波未来可能也会影响我市东部。 	224	否	
03-06	9	56	45	【深圳今年初雷日恰逢惊蛰】2019年3月6日5时36分，深圳国家基本气象站观测到今年第一次雷暴，将今天日期定义为2019年初雷日。刚好今天是惊蛰，惊蛰本身的含义就是打雷把地上蛰伏的虫子惊醒了，惊蛰与深圳平均初雷日（3月3日）相近。现在正是冷、暖空气交汇频繁时段，雷暴、强对流等剧烈天气逐渐增多， ...全文	311	否	
03-06	11	124	34	今天上午降雨暂歇，午后有一波更强的降雨等着我们，后面这波降雨更强，并伴有雷暴，强对流的季节来啦 	100	否	
03-06	3	60	39	受弱冷空气影响，昨天夜间至今天早晨全市普遍出现了小到中雨局部大雨，并伴有分散雷电，雨时最大阵风6级；目前雨带位于南山-龙华-宝安一带，移动较为缓慢，预计未来2-3个小时将向东南部移动至罗湖-盐田-龙岗一带；部分地区午后降雨短暂停歇；到傍晚前后，降雨云团再次影响我市。今天注定是雨雨雨的一天 ...全文	324	否	
03-06	7	64	38	【深圳市降雨提示】目前宝安、光明、龙华等地区出现小到中雨，预计未来2-3小时降雨云带将逐渐向东南方向发展，其中7-8时中西部地区有小到中雨，8-9时降雨区域向东南扩展至全市。恰逢上班（上学）时段，雨天路滑，请注意交通安全，今天白天仍有雨，出门请备好雨具。深圳市气象台网页链接 	275	否	
03-06	3	40	56	【上班天气】预计06-08时中西部地区降雨频密，间中雨势较大，并伴有零散雷暴；08-09时降雨区域扩散至全市，恰逢上班（上学）时段，雨天路滑，气温略降，注意添衣，出行请注意交通安全。 深圳市气象台2019年03月06日06时10分发布。网页链接 	231	否	
03-06	5	26	26	【深圳市雷电预警】深圳市气象台于2019年03月06日05时35分在全市发布雷电预警，预计今天上午全市大部分地区有小到中雨，部分时间雨势较大，并伴有零散雷暴，按照防御预案停止户外易燃易爆危险作业，并加强危化场所安全管理。网页链接 	226	否	
03-06	7	18	20	【今日天气】我市阴天，小雨转中到大雨，雨时伴有雷暴和7-8级短时大风；气温17-23℃；东南风2-3级，阵风7-8级；相对湿度75%-100%。 深圳市气象台2019年03月06日05时13分发布。网页链接 	181	否	
03-06	1	18	22	珠江口西侧的回波不断来袭 未来一小时宝安、南山、光明、龙华的雨会加大，伴随着降雨，气温也会略有下降，早起准备出现的人儿记得添衣，带伞，雨天路滑，出行注意安全。 	157	否	
03-06	0	57	25	此时龙华下的正旺 有被雨声吵醒的娃吗 查看图片	0	是	受弱冷空气影响，有回波不断自西北向东南方向移动，我市光明、宝安等地开始出现分散小雨，并伴有6级左右的最大阵风。预计今天夜间我市自西向东普遍有小雨，雨时阵风较大，请注意防风防雨防雷电。 
03-06	5	44	25	受弱冷空气影响，有回波不断自西北向东南方向移动，我市光明、宝安等地开始出现分散小雨，并伴有6级左右的最大阵风。预计今天夜间我市自西向东普遍有小雨，雨时阵风较大，请注意防风防雨防雷电。 	181	否	
03-05	8	38	45	#惊蛰到  仲春始#“惊蛰节气正处乍寒乍暖之际，根据冷暖预测后期天气的谚语有：“冷惊蛰，暖春分”等。惊蛰节的风也有用来作预测后期天气的依据。如“惊蛰刮北风，从头另过冬”、"惊蛰吹南风，秧苗迟下种"。现代气象科学表明，“惊蛰”前后，之所以偶有雷声，是大地湿度渐高而促使近地面热气上升或北上 ...全文	336	否	
03-05	5	110	62	目前我市北部出现了零散回波，预计今天夜间阴天转阵雨，下半夜至明天清晨，部分时间雨势稍大，并伴有零散雷暴。这一周天气都比较不适宜晾晒，又到了拼内裤和袜子数量的季节，烘干机可以用起来了。 	182	否	
03-05	2	46	17	【下班天气】阴天间多云，偶有阵雨：预计17-20时，我市阴天间多云；气温21-25℃；相对湿度75%-95%；东南风3-4级，沿海和高地最大阵风5-6级；全市能见度10-20公里。傍晚偶有阵雨，出门带伞为宜。 深圳市气象台2019年03月05日16时48分发布。网页链接 	239	否	
03-05	7	67	39	【深圳市天气提示】本周降雨频繁间中有8级左右短时大风：6日有中到大雨，气温17-23℃；7-9日仍有明显降水，雨量可达大雨到暴雨；10日阵雨转多云。我市已进入强对流天气多发期，请注意防范雷雨大风、短时强降水等强对流天气对城市安全运行的影响。深圳市气象台2019年03月05日15网页链接 	274	否	
03-05	4	19	20	回复@不可理喻_珊:所谓雨雨雨雨雨指的是每天都会出现一段时间（长短不一）有雨，不会每时每刻连续降雨的，就像今天一会太阳一会乌云一会阵雨，说变就变的哦，备好雨具出行是硬道理。//@不可理喻_珊:现在都没下，还出太阳了！！！	0	是	本周都是雨雨雨雨雨，套餐加量不加价！这太阳公公跟逗你玩一样，刚一出来，估计你一转身，它又goodbye了。 
03-05	1	46	29	下午我市基本无明显降雨，以阴天间多云为主，东西部地区温差已减小，午后气温将维持在22-25℃，因云量较多（升温后盖棉被），且降雨后空气湿度加大，体感易较热（早上出门肯定也穿多了）。 	181	否	
03-05	1	34	23	【深圳市大风提示】受偏南气流影响，预计今天下午到夜间我市沿海和高地风力较大，最大阵风可达6-7级，请注意防风。深圳市气象台2019年03月05日12时55分发布网页链接 	163	否	
03-05	1	87	31	目前东部地区云量多，且盐田、坪山等地区有阵雨，而中部和西部天况明朗，可见阳光，东西部地区温差达5℃。下午东部逐渐明朗，西部云量增多，温差减小，同时为下一轮降雨准备。 	175	否	
03-05	14	136	56	本周都是雨雨雨雨雨，套餐加量不加价！这太阳公公跟逗你玩一样，刚一出来，估计你一转身，它又goodbye了。 	113	否	
03-05	3	62	37	今早全市气温普遍在18-20℃，东南风比较清劲，最大阵风6-7级，所以出门穿体感较凉，建议多穿一件出门（方便剥的衣服），不过中午前后气温上升较快，会比较热哦。 	156	否	
03-05	0	18	23	回复@南精灵菠萝派:雨季已经开始了，堵车很容易因积水后更严重。//@南精灵菠萝派:到处挖路，家门口被堵了五分钟	0	是	今天上午以阵雨为主，昨晚的雨不小，今早出门堵了吗？ 
03-05	3	47	23	今天上午以阵雨为主，昨晚的雨不小，今早出门堵了吗？ 	56	否	
03-05	6	41	30	【上班天气】预计6-9时，我市分散阵雨转多云；气温17-19℃；相对湿度80%-95%；南风3级，沿海和高地最大阵风7级左右；全市能见度10-20公里。早晨仍有分散阵雨，出门带伞为宜。 深圳市气象台2019年03月05日05时14分发布。网页链接 	221	否	
03-05	6	17	22	【今日天气】我市小雨转多云；气温17-24℃；南风2-3级；相对湿度65%-95% 深圳市气象台2019年03月05日04时53分发布。网页链接 	126	否	
03-05	15	21	35	【深圳市取消分区暴雨黄色、雷电预警】强降雨已减弱，市气象台于2019年03月05日04时10分在南山区、西部海区、新安、石岩、玉塘、沙井、新桥、福海、福永、松岗、西乡、航城取消暴雨黄色预警，在全市取消雷电预警，市民仍需注意远离河道和危险边坡等。网页链接 	250	否	
03-05	5	35	35	【深圳市分区暴雨黄色预警】南山区，西部海区，宝安区（新安、石岩、沙井、新桥、福海、福永、松岗、西乡、航城街道）和光明区（玉塘街道）已出现20-30毫米降雨，预计未来6小时仍有20-30毫米降水，深圳市气象台于2019年03月05日02时00分在上述地区发布暴雨黄色分区预警，全市进网页链接 	275	否	
03-05	8	91	66	降雨云团自西南向东北方向移动。大一点的雨，都是等你们睡觉了再下，真好！不过，外面的物品应该都收回来了吧？毕竟风雨还是比较明显的。 	128	否	
03-04	7	170	82	没看到【雷电预警】前面那条微博的童鞋，你还好吗？降雨持续时间长，别等了，赶紧想想办法吧。“我有伞，你在哪？”此条微博下面回复位置，看看能找到跟你一起打伞的人儿不？别问，问得话，小编就是楼上扔馅儿饼的那个人！只能帮你到这了。 	229	否	
03-04	9	84	45	【深圳市雷电预警】深圳市气象台于2019年03月04日20时30分在全市发布雷电预警，预计30分钟内全市将受雷电影响，按照防御预案停止户外易燃易爆危险作业，并加强危化场所安全管理。网页链接 	184	否	
03-04	6	63	60	【降雨云团大致自西向东移动】我市稍后将自西向东逐渐转雨。此时，还在外面玩耍且没带伞的童鞋，要提前回家了哦。特点：雨不算大，但应该要打伞；不要等雨停，因为，你很可能等不到它停。特别是中西部的童鞋。 	206	否	
03-04	6	70	57	回复@茉莉花呱呱呱呱呱:不一样，一个是湿的不容易干，一个是干的自己就湿了//@茉莉花呱呱呱呱呱:回复@深圳天气:潮和回南天不是一个意思吗//@深圳天气:回复@shmilyHebe:雨都积压在江南两个多月了，你们还要退回去？//@shmilyHebe:我要退货	0	是	今天夜间到明天早晨的雨已经发货了，查收！网页链接 
03-04	8	37	23	回复@shmilyHebe:雨都积压在江南两个多月了，你们还要退回去？//@shmilyHebe:我要退货	0	是	今天夜间到明天早晨的雨已经发货了，查收！网页链接 
03-04	4	48	36	发布了头条文章：《强对流季节来到，每天都是雨》  强对流季节来到，每天都是雨 	67	否	
03-04	6	44	24	进入强对流多发时段，Are you ready? 	34	否	
03-04	18	106	49	今天夜间到明天早晨的雨已经发货了，查收！网页链接 	58	否	
03-04	0	15	21	【下班天气】预计17-20时，我市多云到阴天；气温19-21℃；相对湿度75%-95%；偏东风2-3级，东部风速3-4级，阵风5-6级；能见度普遍在10公里以上。东部部分地区风速较大，注意室外物品加固和交通安全。 深圳市气象台2019年03月04日16时35分发布。网页链接 	243	否	
03-04	1	3	9	【深圳市大风提示】受偏东气流影响，预计今天下午到夜间我市沿海和高地偏东风较大，最大阵风可达6-7级，请注意防风。深圳市气象台2019年03月04日16时30分发布网页链接 	165	否	
03-04	7	24	28	【深圳市天气提示】本周降雨转趋频繁注意防范强对流天气：4日夜间到5日阴天转多云，有雷阵雨，局部大雨，降雨主要集中在4日夜间至5日早晨，气温18-24℃；6-10日冷暖空气交替影响，降雨频繁，间中伴有雷暴和短时大风等强对流天气。强对流季节已经到来，请注意防范雷雨大风造成的网页链接 	275	否	
03-04	16	106	79	今天夜间到明天早晨有雷阵雨，局部大雨；未来一周冷暖空气交替影响，造成阵雨多，并可能伴有7-8级短时大风、短时强降水和雷暴。也就是说今天是这周天气最好的一天，做好准备没？ 	165	否	
03-04	6	66	46	本周内冷暖空气交替影响，阵雨频繁，大家出门带伞，还有早晚时段记得及时添衣。 	74	否	
03-04	6	101	39	在纠结把收起来的冬衣拿出来？预计三月还有三股弱冷空气，但是气温波动幅度不大，所以小编决定还是不拿出来了你的冬衣收了没？网页链接 	142	否	
03-04	21	66	64	受冷空气影响一早的气温较昨天下降了3-4℃℃，体感有些清凉，出门注意及时添加衣物 深圳·园博园 	97	否	
03-04	5	19	27	【上班天气】天气清凉：预计早晨6-9时，我市多云到阴天；气温17-19℃；相对湿度75%-95%；偏北风2-3级；能见度普遍在10公里以上。受冷空气影响今天早晨气温较昨天下降3-4℃，天气清凉，注意及时添加衣物。 深圳市气象台2019年03月04日05时18分发布。网页链接 	248	否	
03-04	4	8	25	【今日天气】我市多云；气温17-23℃；偏北风2-3级；相对湿度65%-95% 深圳市气象台2019年03月04日05时10分发布。网页链接 	122	否	
03-03	17	110	92	明天是下周难得的好天气，因为下周中后期在冷暖空气的交替影响下，将会进入每天都下几阵雨的模式，天气清凉。说是冷空气，其实只下雨，几乎不降温。 	138	否	
03-03	1	49	53	全市温度大约23度，比较舒适。今晚清凉，好好享受周一上班前的最后一个夜晚吧~ 	73	否	
03-03	0	6	17	【下班天气】预计17-20时，我市多云；气温19-23℃；相对湿度65%-90%；北风2-3级；中西部能见度在5-13公里，东部能见度15公里以上。天气舒适，夜间清凉，注意添衣。 深圳市气象台2019年03月03日17时00分发布。网页链接 	211	否	
03-03	7	38	30	【深圳市天气提示】下周中后期多降雨：4-5日多云间阴天，有分散小雨，部分时间可见阳光，4日气温16-23℃，早晨清凉；6-10日冷暖空气交替影响，云量较多，降雨频繁，间中有雷雨，天气清凉。下周请注意防范短时强降雨和雷暴，及降雨导致的低能见度天气。深圳市气象台2019年03月03网页链接 	275	否	
03-03	11	140	202	我的天，现在竟然有人问我“说好的今天下雨呢？”早就下完了呢亲，而当时你在床上睡大觉吧大概，来人，我的四十米大刀呢 	112	否	
03-03	7	69	110	真温暖 	12	否	
03-03	2	58	73	最近开的木棉花应该今天早上被吹掉了不少	0	是	@深圳天气 落叶 
03-03	6	50	42	宝安光明和南头的小雨已经停了，全市其他地方也会自西向东逐渐停雨，下午天气很好，如果这片云飘得足够快的话下午甚至还有可能出太阳 	124	否	
03-03	2	73	55	现在基本全市都在下小雨，小时雨量1毫米以下，大约中午全部降雨结束 	63	否	
03-03	18	150	146	看来大家都迫不及待地想出门了，想知道今天接下来天气如何。如图，第一步是雷雨，第二步是短暂的一种要出太阳的假象，第三步是无足轻重的小雨。现在大部分地区已经走到第二步了，上午会把第三步走完，下午就完全雨停了。其实现在已经很适合出门玩耍了，下完雨的空气非常好，小雨只需要带伞就是了。 	276	否	
03-03	7	71	83	随着雷雨带移出大鹏，整个这次雷雨对整个深圳的影响已经告一段落了，上午接下来的时间还会有一些小雨。因为雷雨移动很快，下的时间不长，所以降雨量不大，但是这个风啊，真的厉害。 	168	否	
03-03	7	44	41	【深圳市取消分区大风蓝色、分区大风黄色、分区雷电预警】强降雨云团已减弱，市气象台于2019年03月03日08时30分在全市取消雷电和大风蓝色、黄色预警信号。预计今天白天我市仍有阵雨。网页链接 	188	否	
03-03	9	94	70	降雨影响最大的云团已经抵达我市大鹏新区，也就意味着即将入海，后面只剩下虾兵蟹将，全市雨减小为小雨或阵雨，而降雨在午后趋于结束。 	138	否	
03-03	0	19	23	注意安全出行。	0	是	#交通提示#@深圳交警路况播报：7时45分，南坪快速塘朗山路段东往西方向，因大风把树吹倒在机动车道，占据右侧两条车道，导致车多缓行，环卫部门正在作业，提醒后方车友耐心驾驶。 
03-03	43	430	186	此次降雨特点是阵风大，下雨前会明显起风，目前大风已经到龙岗和罗湖，接着继续影响盐田、坪山、大鹏。如果没有扎实的功夫，还是乖乖留在家里避雨避风，过程很快就减弱后再出行，预计主要降雨影响1小时左右。 	205	否	
03-03	62	405	103	【深圳市分区大风蓝色预警升级为黄色】深圳市气象台于2019年03月03日07时10分将福田区，罗湖区和龙岗区（南湾、园山、横岗、布吉街道）大风蓝色预警升级为黄色，预计阵风10级以上，信号可能持续1小时左右，停止高空、水上等户外作业，撤离危险地带人员；船舶采取有效措施避风。网页链接 	275	否	
03-03	11	103	62	要小心了！！//@Jenny-cvip: 呼呼而过……只听得一阵阵玻璃啊门窗的碎响……果然都是不爱看天气预报的邻居	0	是	注意！！我市在宝安和光明已经出现8级以上阵风，后续强雨带将继续东南移，降雨时会有短时大风影响。目前即将影响南山、福田、龙华、龙岗西部等地区。 
03-03	8	76	59	挺可怕的，不是台风啊，是强雨带降雨带来的。	0	是	@深圳天气 是台风吗 人傻怪天的微博视频 
03-03	55	203	59	【深圳市分区大风蓝色预警升级为黄色】深圳市气象台于2019年03月03日07时05分将宝安区，南山区，光明区，龙华区，西部海区和龙岗区（坂田、平湖、吉华街道）大风蓝色预警升级为黄色，预计阵风10级以上，信号可能持续1小时左右，停止高空、水上等户外作业，撤离危险地带人员；船网页链接 	275	否	
03-03	97	465	119	注意！！我市在宝安和光明已经出现8级以上阵风，后续强雨带将继续东南移，降雨时会有短时大风影响。目前即将影响南山、福田、龙华、龙岗西部等地区。 	139	否	
03-03	34	318	101	准备起床出门的注意了，真正的大部队即将入城，前面零散的短时降雨仅是冲锋陷阵，7时左右从我市西北向东南开始横扫，直至大部队移出我市。 	129	否	
03-03	17	75	46	【深圳市发布大风蓝色、雷电预警】深圳市气象台于2019年03月03日06时10分在全市发布大风蓝色预警，预计局地短时阵风8级以上，信号持续4小时左右，做好防风准备，落实各项防风措施，尽量避免海上活动。在全市发布雷电预警，预计60分钟内全市自西北向东南将先后受雷电影响，按照网页链接 	274	否	
03-03	6	27	46	【上班天气】预计6-9时，我市阴天，有中雨局部大雨，并伴有雷暴和8级短时大风；气温19-22℃；相对湿度85%-100%；东南风2-3级，沿海和高地阵风5-6级；能见度在5-10公里，雨时转差。出门请做好防雷雨大风准备，合理安排出行时间。 深圳市气象台2019年03月03日05时43分发布。网页链接 	270	否	
03-03	4	24	28	【今日天气】我市中雨，局部大雨，并伴有雷暴和8级以上短时大风；气温17-23℃；东南风2级转北风3级；相对湿度65%-95% 深圳市气象台2019年03月03日05时22分发布。网页链接 	168	否	
03-03	6	62	54	先遣部队已经给西北部带来了微雨，锋面降雨已经到达粤北并继续南下。雨，我们明天见 	78	否	
03-02	4	42	72	明天下午两点在罗湖深圳书城举行“深圳市青少年帮困助弱专项基金募捐活动”，现场有募捐和义卖活动，还有表演，我充满爱心的粉丝们可以去参加活动呀，气象局优秀的共青团员也会在现场参加活动的呢 	192	否	
03-02	8	84	50	明日我市将转雷雨天气，请合理安排好出行时间，注意防雷避雨。网页链接 	76	否	
03-02	1	36	28	【下班天气】局地有分散小雨：预计17-20时，我市多云到阴天，局地有分散小雨；气温20-24℃；相对湿度70%-95%；偏南风3级，沿海和高地最大阵风5-6级；能见度10-20公里。雨时能见度较低，请注意行车安全。 深圳市气象台2019年03月02日16时25分发布。网页链接 	247	否	
03-02	1	38	39	松岗、燕罗、马田、公明交界下雨了。不过非常短暂不担心出行，对户外活动有些影响，如打球。 	100	否	
03-02	6	58	63	傍晚到夜间天气还是不错的，抓紧时间安排活动，过了今晚这周末就约等于结束了。 	86	否	
03-02	15	38	40	【深圳市天气提示】明日有雷雨：3日有中雨局部大雨，伴雷暴，雷雨时局地有7级左右短时大风，主要降水时段上午至中午，气温18-23℃；4日部分时间可见阳光，早晚清凉有轻雾；5-9日云量较多，间中有阵雨。明日降雨可能伴有强对流天气，请注意防范。深圳市气象台2019年03月02日15时网页链接 	275	否	
03-02	2	80	69	太阳在西部地区提前打卡下班，云量增多，东部也该差不多了，老天该为明天下雨做准备了。 	88	否	
03-02	2	75	39	今天阳光分布，西部地区相对充足，中东部地区云量仍比较多，总体天气好，趁现在使劲涛，明天就基本待家里了。 	102	否	
03-02	1	29	38	今天云量相对较多，中午前后的阳光应该是今“日”最佳。相比我国其他南部地区，我们该很满足了。 	96	否	
03-02	4	43	36	21℃左右的气温虽舒适，但天况就是像被风拨开的光，转眼被云遮挡，要晴好的天气是不存在的，不过不影响大家出行活动。 	122	否	
03-02	7	92	80	今天天气很好，适合外出活动，适合晾晒。明天有雨了。 	50	否	
03-02	3	17	32	【上班天气】预计6-9时，我市多云到阴天；气温20-23℃；相对湿度75%-95%；偏东风2-3级，沿海和高地阵风5级；能见度5-15公里。沿海和高地阵风较大，请注意安全。 深圳市气象台2019年03月02日05时28分发布。网页链接 	208	否	
03-02	4	6	35	【今日天气】我市多云；气温20-27℃；东风2-3级，沿海和高地阵风5级；相对湿度60%-95% 深圳市气象台2019年03月02日05时21分发布。网页链接 	139	否	
03-01	2	69	43	今晚沿海和高地有5-6级左右阵风，风有点大啊。明天多云，可见阳光，适合出去玩啊。后天部分时间有阵雨了，不是很合适出去玩了。因此周末假期，明天出去玩吧。 	147	否	
03-01	3	53	59	温度下降的有点快，而且风好大，丝丝冷 	36	否	
03-01	2	70	93	 查看图片	0	是	这样下去我会膨胀的 
03-01	6	101	78	这样下去我会膨胀的 	28	否	
03-01	0	16	16	【下班天气】好天气，可出行：预计17-20时，我市多云；气温21-24℃；相对湿度85%-95%；偏东风2-3级；能见度好，普遍在15公里以上。傍晚天气较好，可以进行户外活动。 深圳市气象台2019年03月01日16时51分发布。网页链接 	213	否	
03-01	5	40	27	【深圳市天气提示】周日有雷雨：2日多云间晴天，早晚有轻雾，20-27℃；3日有中雨，并可能伴有雷暴和短时6-7级阵风，天气清凉；4日转多云可见阳光，最低气温下降4℃，早晚清凉；5日温暖湿润；6日起间中有阵雨。周日降雨可能伴有强对流天气，请注意防范。深圳市气象台2019年3月1网页链接 	274	否	
03-01	2	5	14	【预警铃入驻“i 深圳”APP了】市气象局联合市教育局推出上下学时段高级别台风暴雨预警提示服务——“预警铃”，除了通过“深圳天气”微信及APP进行定制，还可以通过深圳市统一政务服务APP“i深圳”进行定制，使用方法如下图，下载见二维码。“i深圳”APP气象局专区还有天气分区预报、台风预报、天气提 ...全文	304	否	
03-01	1	43	28	周六天气很好，想去玩的去吧	0	是	啥时候降温，啥时候下雨？周日这俩一起来。周日受冷空气影响有小到中雨，并且气温下降3-4度。要出门的玩耍的都带好伞哈，去动物园的先问问动物们下雨还愿不愿意出来吧 
03-01	7	65	42	啥时候降温，啥时候下雨？周日这俩一起来。周日受冷空气影响有小到中雨，并且气温下降3-4度。要出门的玩耍的都带好伞哈，去动物园的先问问动物们下雨还愿不愿意出来吧 	161	否	
03-01	1	32	31	晒了一圈，没干，反而出汗了 	32	否	
03-01	23	41	160	#2月29日出生的孩子#地球努力公转四年才多出的这一天，值得被温柔对待#地球公转的实际周期约为365.242188天#	0	是	【暖心！生日快乐！#2月29日出生的孩子#】"亲爱的王校长，我的生日2月29日，这是个特殊的日子，我可不可以在2月28日吃一次蛋糕。"胡诗琪的学校是寄宿制，食堂只按登记的生日发小蛋糕。于是，她写了这封信，校长："小蛋糕安排上了。""全校唯一2月29日生日的孩子，祝你生日快乐！" 
03-01	2	54	49	外面的阳光时好时坏的，现在的温度比昨天同一时间低了3度左右，也才22度，倒也很舒服，没有昨天那么湿热。中午出去晒晒太阳吧，可以被晒干哦 	137	否	
03-01	2	38	11	回复@6-77-:温度露点差也是一个反映空气水含量的物理量，差值越小表示空气中的水汽达到近似饱和状态，这个公式就简单多了(T-Td )//@6-77-:看不懂，直接比露点来估计的//@深圳天气:回复@酷cool的虫:图片评论 查看图片	0	是	科普下相对湿度的概念吧，相对湿度，指空气中水汽压与相同温度下饱和水汽压的百分比。相对湿度的大小不仅与大气中水汽含量有关，而且也随气温升高而降低。当水汽压不变时，气温升高，饱和水汽压增大，相对湿度会减小。所以一般来说早晚湿度大，中午湿度低 
03-01	20	54	32	回复@酷cool的虫:图片评论 查看图片 //@酷cool的虫:看公式更直观，一堆话才难懂	0	是	科普下相对湿度的概念吧，相对湿度，指空气中水汽压与相同温度下饱和水汽压的百分比。相对湿度的大小不仅与大气中水汽含量有关，而且也随气温升高而降低。当水汽压不变时，气温升高，饱和水汽压增大，相对湿度会减小。所以一般来说早晚湿度大，中午湿度低 
03-01	28	54	56	科普下相对湿度的概念吧，相对湿度，指空气中水汽压与相同温度下饱和水汽压的百分比。相对湿度的大小不仅与大气中水汽含量有关，而且也随气温升高而降低。当水汽压不变时，气温升高，饱和水汽压增大，相对湿度会减小。所以一般来说早晚湿度大，中午湿度低 	236	否	
03-01	6	38	34	回复@李芋头呀:是做空气好难，潮湿一点就罪大恶极//@李芋头呀:彦祖：做人好难啊[並不簡單][並不簡單][並不簡單]	0	是	一大早翻看评论，我说空气潮湿，评论说真的不会有阳光吗？我说空气潮湿，评论说说好的适合晾晒呢？我说空气潮湿，评论说回南天持续多长时间。其实就只是空气湿而已啊阳光是有的，有阳光的时候可以晾晒，还有，最近不是回南天。 
03-01	2	19	20	回复@是的猫奴本人:理论上是的，但是白天其实没有那么湿//@是的猫奴本人:天气潮湿是不是不适合开窗透风…	0	是	一大早翻看评论，我说空气潮湿，评论说真的不会有阳光吗？我说空气潮湿，评论说说好的适合晾晒呢？我说空气潮湿，评论说回南天持续多长时间。其实就只是空气湿而已啊阳光是有的，有阳光的时候可以晾晒，还有，最近不是回南天。 
03-01	18	129	78	一大早翻看评论，我说空气潮湿，评论说真的不会有阳光吗？我说空气潮湿，评论说说好的适合晾晒呢？我说空气潮湿，评论说回南天持续多长时间。其实就只是空气湿而已啊阳光是有的，有阳光的时候可以晾晒，还有，最近不是回南天。 	222	否	
03-01	2	36	31	【上班天气】宝安区能见度稍差：预计6-9时，我市多云到阴天；气温19-22℃；相对湿度75%-95%；偏东风2-3级；宝安区能见度在3-7公里，其余地区能见度在7-12公里。日间天气暖湿，局地或有零星小雨。 深圳市气象台2019年03月01日05时33分发布。网页链接 	240	否	
03-01	8	13	24	【今日天气】我市多云；气温20-25℃；东风2-3级；相对湿度65%-95% 深圳市气象台2019年03月01日05时16分发布。网页链接 	120	否	
02-28	3	64	47	明后两天温暖湿润，记得做好食品防潮工作哦。至于大家关心的哪天可以洗晒，其实最近一段时间都不太适合，非要找一天的话，明天勉强可以。 	128	否	
02-28	19	71	191	网上看见这张图觉得必须发出来给大家看看 	44	否	
02-28	35	102	236	深圳市气象局联合市教育局推出了上下学时段高级别台风暴雨预警提示服务——“预警铃”🔔，学生和家长在手机上定制预警铃，可以第一时间获取预警信息和停课或推迟上课等消息。定制方法如下。发布了头条文章：《致家长的一封信》  致家长的一封信 	234	否	
02-28	5	112	124	刚才写天气解读的时候突然想起来加了一句“请市民做好食品防潮”，因为昨天办公室的饼干罐没有盖好，现在受潮之后口感已经难吃得像个泡了水的绿豆饼。大家也要记得把家里容易受潮的食物密封好哦，比如如果薯片太大包一次吃不完记得用夹子夹好，或者拿到竹子林给我吃，蟹蟹。 	254	否	
02-28	1	9	18	【下班天气】预计17-20时，我市多云，可见阳光；气温22-26℃；相对湿度60%-90%；偏南风2-3级；西部沿海能见度10-15公里，全市其余地区能见度15-20公里。天气舒适，对交通无不利影响。 深圳市气象台2019年02月28日16时43分发布。网页链接 	229	否	
02-28	3	21	15	【深圳市天气提示】未来两天温暖湿润，早晚能见度较低：3月1-2日多云，部分时间可见阳光，1日气温19-25℃；3日、6日有小雨，天气稍凉；4日、5日温暖湿润；关注（雨）雾导致的低能见度对交通的影响。深圳市气象台2019年02月28日16时05分发布网页链接 	240	否	
